time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:46:35,42.6698,-71.42699,1072.46,33.13,11,30.038805773365979381443298969072165,52
06/03/2010 10:46:36,42.6698,-71.42699,1071.72,33.13,20,29.953696698649218106995884773662551,52
06/03/2010 10:46:37,42.6698,-71.42699,1071.72,32.81,9,29.953696698649218106995884773662551,52
06/03/2010 10:46:39,42.6698,-71.42699,1073.93,32.81,22,29.953696698649218106995884773662551,52
06/03/2010 10:46:40,42.6698,-71.42699,1076.86,33.13,9,29.953696698649218106995884773662551,52
06/03/2010 10:46:41,42.6698,-71.42699,1076.86,33.13,9,30.038805773365979381443298969072165,52
06/03/2010 10:46:42,42.6698,-71.42699,1076.86,33.46,14,30.038805773365979381443298969072165,52
06/03/2010 10:46:43,42.6698,-71.42699,1077.58,33.13,4,30.123781256412561983471074380165289,52
06/03/2010 10:46:44,42.6698,-71.42699,1076.86,33.13,3,30.123781256412561983471074380165289,52
06/03/2010 10:46:45,42.6698,-71.42699,1076.86,33.13,2,30.208623320680207039337474120082816,52
06/03/2010 10:46:46,42.6698,-71.42699,1076.86,33.13,1,30.208623320680207039337474120082816,52
06/03/2010 10:46:47,42.6698,-71.42699,1076.86,33.46,2,30.208623320680207039337474120082816,52
06/03/2010 10:46:48,42.669815,-71.427,1076.86,33.13,2,30.208623320680207039337474120082816,52
06/03/2010 10:46:49,42.669815,-71.427,1076.86,33.13,1,30.123781256412561983471074380165289,52
06/03/2010 10:46:50,42.669815,-71.42702,1076.86,32.81,3,30.123781256412561983471074380165289,52
06/03/2010 10:46:52,42.669834,-71.42702,1076.86,32.81,1,30.123781256412561983471074380165289,51
06/03/2010 10:46:53,42.669834,-71.42703,1076.86,33.13,3,30.123781256412561983471074380165289,51
06/03/2010 10:46:54,42.66985,-71.42703,1076.13,33.13,0,30.123781256412561983471074380165289,51
06/03/2010 10:46:55,42.66985,-71.42705,1076.13,33.46,3,30.123781256412561983471074380165289,51
06/03/2010 10:46:56,42.669865,-71.42705,1076.13,32.81,1,30.208623320680207039337474120082816,51
06/03/2010 10:46:57,42.669865,-71.42707,1076.86,33.13,3,30.123781256412561983471074380165289,51
06/03/2010 10:46:58,42.669865,-71.42707,1076.13,33.13,1,30.208623320680207039337474120082816,51
06/03/2010 10:46:59,42.66988,-71.427086,1075.40,33.13,3,30.123781256412561983471074380165289,51
06/03/2010 10:47:00,42.66988,-71.427086,1076.13,33.13,2,30.123781256412561983471074380165289,51
06/03/2010 10:47:01,42.6699,-71.4271,1076.13,33.46,2,30.123781256412561983471074380165289,51
06/03/2010 10:47:02,42.6699,-71.42712,1076.13,33.13,2,30.123781256412561983471074380165289,51
06/03/2010 10:47:03,42.6699,-71.42713,1076.13,33.13,6,30.123781256412561983471074380165289,51
06/03/2010 10:47:04,42.669914,-71.42715,1076.86,33.13,4,30.123781256412561983471074380165289,51
06/03/2010 10:47:06,42.669914,-71.42716,1076.13,32.81,6,30.123781256412561983471074380165289,51
06/03/2010 10:47:07,42.66993,-71.42718,1076.13,33.13,1,30.123781256412561983471074380165289,51
06/03/2010 10:47:08,42.66993,-71.4272,1076.13,32.81,2,30.123781256412561983471074380165289,51
06/03/2010 10:47:09,42.66993,-71.4272,1076.13,33.13,3,30.123781256412561983471074380165289,50
06/03/2010 10:47:10,42.669945,-71.427216,1076.13,32.81,4,30.123781256412561983471074380165289,50
06/03/2010 10:47:11,42.669945,-71.42723,1076.13,33.13,3,30.208623320680207039337474120082816,50
06/03/2010 10:47:12,42.669945,-71.427246,1076.13,32.81,6,30.208623320680207039337474120082816,50
06/03/2010 10:47:13,42.669945,-71.427246,1076.13,33.13,16,30.208623320680207039337474120082816,50
06/03/2010 10:47:14,42.669945,-71.42727,1076.13,32.81,2,30.208623320680207039337474120082816,50
06/03/2010 10:47:15,42.66997,-71.427284,1076.13,32.81,4,30.208623320680207039337474120082816,50
